class,precision,recall,f1-score,support
안녕하세요,0.0,0.0,0.0,0.0
안되다,0.8281068524970964,0.8991172761664565,0.8621523579201935,793.0
안전벨트,0.9642857142857143,0.45,0.6136363636363636,60.0
알다,0.7636363636363637,0.7777777777777778,0.7706422018348624,54.0
알려받다,0.5138888888888888,0.6166666666666667,0.5606060606060606,60.0
알려주다,0.7815126050420168,0.768595041322314,0.775,121.0
약,0.68,0.723404255319149,0.7010309278350515,47.0
약속,0.0,0.0,0.0,0.0
약수,0.0,0.0,0.0,0.0
어느,0.0,0.0,0.0,4.0
어디,0.0,0.0,0.0,0.0
어떻게,0.0,0.0,0.0,10.0
어렵다,0.8524590163934426,0.9122807017543859,0.8813559322033898,57.0
어린이교통카드,0.0,0.0,0.0,0.0
어린이집,0.9459459459459459,0.6730769230769231,0.7865168539325843,52.0
어지럽다,0.0,0.0,0.0,0.0
언덕,0.9144385026737968,0.9243243243243243,0.9193548387096774,185.0
얼마,0.5535714285714286,0.5535714285714286,0.5535714285714286,56.0
없다,0.7894736842105263,0.8918918918918919,0.8375634517766497,370.0
엉덩이,0.6941176470588235,0.855072463768116,0.7662337662337663,69.0
에어컨,0.8401162790697675,0.9429037520391517,0.8885472713297463,613.0
엘리베이터,0.8125,0.9590163934426229,0.8796992481203008,122.0
여기,0.8408239700374532,0.8046594982078853,0.8223443223443223,558.0
여의도,0.6666666666666666,0.7894736842105263,0.7228915662650602,76.0
역무원,0.0,0.0,0.0,0.0
연착,0.0,0.0,0.0,0.0
열쇠,0.8983050847457628,0.7969924812030075,0.8446215139442231,133.0
영등포,0.8152173913043478,0.8928571428571429,0.8522727272727273,84.0
영수증,0.9,0.9293478260869565,0.9144385026737968,184.0
오다오다,0.0,0.0,0.0,0.0
오른쪽,0.0,0.0,0.0,2.0
오천원,0.0,0.0,0.0,0.0
오케이,0.9260204081632653,0.9213197969543148,0.9236641221374046,394.0
올리다,0.8369565217391305,0.9685534591194969,0.8979591836734694,159.0
옷가게,0.0,0.0,0.0,0.0
왜,0.0,0.0,0.0,0.0
왼쪽,0.9655172413793104,0.56,0.7088607594936709,50.0
용산역,0.8611111111111112,0.49206349206349204,0.6262626262626263,63.0
우산,0.863013698630137,0.9064748201438849,0.8842105263157894,139.0
우회전,0.8922413793103449,0.8589211618257261,0.8752642706131079,241.0
운전,0.0,0.0,0.0,0.0
원래,0.6944444444444444,0.9433962264150944,0.8,53.0
원하다,0.6947368421052632,0.8918918918918919,0.7810650887573964,74.0
위로올리다,0.0,0.0,0.0,0.0
위아래,0.0,0.0,0.0,0.0
위쪼이다,0.0,0.0,0.0,0.0
위험,0.0,0.0,0.0,0.0
유리,0.6911764705882353,0.7833333333333333,0.734375,60.0
유턴,0.6428571428571429,0.8244274809160306,0.7224080267558528,131.0
육교,0.8811881188118812,0.898989898989899,0.89,297.0
은행,0.8695652173913043,0.8450704225352113,0.8571428571428571,213.0
응급실,0.8769230769230769,0.912,0.8941176470588236,125.0
의자,0.5384615384615384,0.875,0.6666666666666666,16.0
이마트,0.7261904761904762,0.7093023255813954,0.7176470588235294,86.0
이어폰,0.0,0.0,0.0,0.0
이화여대,0.7133333333333334,0.9385964912280702,0.8106060606060606,114.0
일정하다,0.0,0.0,0.0,0.0
잃어버리다,0.8820754716981132,0.9107142857142857,0.8961661341853036,616.0
있다,0.7936507936507936,0.6896551724137931,0.7380073800738007,145.0
자전거,0.0,0.0,0.0,0.0
자판기,0.8648648648648649,0.9617486338797814,0.9107373868046572,366.0
잘,0.63,0.8811188811188811,0.7346938775510204,143.0
잘못,0.84,0.40384615384615385,0.5454545454545454,52.0
잘못하다,0.0,0.0,0.0,0.0
잠깐,0.0,0.0,0.0,0.0
잠실대교,0.0,0.0,0.0,0.0
장애인복지카드,0.0,0.0,0.0,0.0
저기,0.7913455838767042,0.9044715447154471,0.8441353145747708,1476.0
전,0.8136942675159236,0.833605220228385,0.8235294117647058,613.0
전화걸다,0.9130434782608695,0.4117647058823529,0.5675675675675675,51.0
접근,0.7684210526315789,0.8902439024390244,0.8248587570621468,82.0
정기권,0.0,0.0,0.0,0.0
정도,0.0,0.0,0.0,0.0
조심,0.0,0.0,0.0,0.0
종로,0.6881720430107527,0.920863309352518,0.7876923076923077,139.0
좋다,0.0,0.0,0.0,0.0
좌회전,0.8073394495412844,0.8979591836734694,0.8502415458937198,196.0
주세요,0.0,0.0,0.0,0.0
주차,0.696969696969697,0.2911392405063291,0.4107142857142857,79.0
죽다,0.8736059479553904,0.91796875,0.8952380952380953,256.0
중,0.0,0.0,0.0,0.0
쥐,0.0,0.0,0.0,5.0
증명,0.0,0.0,0.0,4.0
지갑,0.8074534161490683,0.9219858156028369,0.8609271523178808,141.0
지금,0.6266666666666667,0.6911764705882353,0.6573426573426573,68.0
지도,0.0,0.0,0.0,0.0
지름길,0.8731563421828908,0.9024390243902439,0.8875562218890555,328.0
지연되다,0.8620689655172413,0.9259259259259259,0.8928571428571429,54.0
지하위,0.0,0.0,0.0,0.0
지하철,0.7945945945945946,0.881559220389805,0.835820895522388,667.0
지하철오다,0.0,0.0,0.0,0.0
짐,0.7857142857142857,0.9649122807017544,0.8661417322834646,57.0
차,0.625,0.6363636363636364,0.6306306306306306,55.0
차내리다,0.8951358180669615,0.9267495094833225,0.9106683804627249,3058.0
차두다,0.0,0.0,0.0,0.0
차따라가다,0.9090909090909091,0.5769230769230769,0.7058823529411765,52.0
