class,precision,recall,f1-score,support
열쇠,0.8231292517006803,0.9097744360902256,0.8642857142857143,133.0
영등포,0.6974789915966386,0.9880952380952381,0.8177339901477833,84.0
영수증,0.9090909090909091,0.9239130434782609,0.9164420485175202,184.0
오다오다,0.0,0.0,0.0,0.0
오른쪽,0.16666666666666666,0.5,0.25,2.0
오천원,0.0,0.0,0.0,0.0
오케이,0.9225,0.9365482233502538,0.929471032745592,394.0
올리다,0.8628571428571429,0.949685534591195,0.9041916167664671,159.0
옷가게,0.0,0.0,0.0,0.0
왜,0.0,0.0,0.0,0.0
왼쪽,0.9166666666666666,0.44,0.5945945945945946,50.0
용산역,0.7843137254901961,0.6349206349206349,0.7017543859649122,63.0
우산,0.8164556962025317,0.9280575539568345,0.8686868686868687,139.0
우회전,0.9065040650406504,0.9253112033195021,0.9158110882956879,241.0
운전,0.0,0.0,0.0,0.0
원래,0.6410256410256411,0.9433962264150944,0.7633587786259542,53.0
원하다,0.6979166666666666,0.9054054054054054,0.788235294117647,74.0
위로올리다,0.0,0.0,0.0,0.0
위아래,0.0,0.0,0.0,0.0
위쪼이다,0.0,0.0,0.0,0.0
위험,0.0,0.0,0.0,0.0
유리,0.782608695652174,0.9,0.8372093023255814,60.0
유턴,0.7432432432432432,0.8396946564885496,0.7885304659498208,131.0
육교,0.8486646884272997,0.9629629629629629,0.9022082018927445,297.0
은행,0.8333333333333334,0.892018779342723,0.8616780045351474,213.0
응급실,0.8088235294117647,0.88,0.842911877394636,125.0
의자,0.6086956521739131,0.875,0.717948717948718,16.0
이마트,0.6952380952380952,0.8488372093023255,0.7643979057591623,86.0
이어폰,0.0,0.0,0.0,0.0
이화여대,0.8064516129032258,0.8771929824561403,0.8403361344537815,114.0
일정하다,0.0,0.0,0.0,0.0
잃어버리다,0.9053627760252366,0.9318181818181818,0.9184,616.0
있다,0.8832116788321168,0.8344827586206897,0.8581560283687943,145.0
자전거,0.0,0.0,0.0,0.0
자판기,0.9195710455764075,0.9371584699453552,0.9282814614343707,366.0
잘,0.6966292134831461,0.8671328671328671,0.7725856697819314,143.0
잘못,0.7142857142857143,0.09615384615384616,0.1694915254237288,52.0
잘못하다,0.0,0.0,0.0,0.0
잠깐,0.0,0.0,0.0,0.0
잠실대교,0.0,0.0,0.0,0.0
장애인복지카드,0.0,0.0,0.0,0.0
저기,0.8595430107526881,0.8665311653116531,0.8630229419703104,1476.0
전,0.8188854489164087,0.8629690048939641,0.840349483717236,613.0
전화걸다,0.9714285714285714,0.6666666666666666,0.7906976744186046,51.0
접근,0.8152173913043478,0.9146341463414634,0.8620689655172413,82.0
정기권,0.0,0.0,0.0,0.0
정도,0.0,0.0,0.0,0.0
조심,0.0,0.0,0.0,0.0
종로,0.7378048780487805,0.8705035971223022,0.7986798679867987,139.0
좋다,0.0,0.0,0.0,0.0
좌회전,0.8017241379310345,0.9489795918367347,0.8691588785046729,196.0
주세요,0.0,0.0,0.0,0.0
주차,0.75,0.26582278481012656,0.3925233644859813,79.0
죽다,0.8848920863309353,0.9609375,0.9213483146067416,256.0
중,0.0,0.0,0.0,0.0
쥐,0.5,0.2,0.2857142857142857,5.0
증명,0.0,0.0,0.0,4.0
지갑,0.8701298701298701,0.950354609929078,0.9084745762711864,141.0
지금,0.6777777777777778,0.8970588235294118,0.7721518987341772,68.0
지도,0.0,0.0,0.0,0.0
지름길,0.8539944903581267,0.9451219512195121,0.8972503617945007,328.0
지연되다,0.8793103448275862,0.9444444444444444,0.9107142857142857,54.0
지하위,0.0,0.0,0.0,0.0
지하철,0.8098591549295775,0.8620689655172413,0.8351488743645606,667.0
지하철오다,0.0,0.0,0.0,0.0
짐,0.7857142857142857,0.9649122807017544,0.8661417322834646,57.0
차,0.7,0.7636363636363637,0.7304347826086957,55.0
차내리다,0.9077716865527249,0.92053629823414,0.9141094333495697,3058.0
차두다,0.0,0.0,0.0,0.0
차따라가다,0.875,0.40384615384615385,0.5526315789473685,52.0
차밀리다,0.8282828282828283,0.9647058823529412,0.8913043478260869,85.0
창문,1.0,0.25,0.4,4.0
찾다,0.9113680154142582,0.9292730844793713,0.9202334630350194,509.0
천안아산역,0.9272727272727272,0.9807692307692307,0.9532710280373832,104.0
천천히,0.0,0.0,0.0,0.0
천호,0.5833333333333334,0.8235294117647058,0.6829268292682927,17.0
철로,0.8333333333333334,0.9166666666666666,0.873015873015873,60.0
첫차,0.8333333333333334,0.9340659340659341,0.8808290155440415,91.0
청음회관,0.7634408602150538,0.7473684210526316,0.7553191489361702,95.0
추가,0.0,0.0,0.0,0.0
춥다,0.6764705882352942,0.71875,0.696969696969697,32.0
충분,0.0,0.0,0.0,0.0
충분하다,0.0,0.0,0.0,0.0
충전,0.8225806451612904,0.9622641509433962,0.8869565217391304,53.0
카드,0.8418367346938775,0.765661252900232,0.8019441069258809,431.0
카톡보내다,0.0,0.0,0.0,0.0
카페,0.0,0.0,0.0,0.0
켜다,0.746031746031746,0.9591836734693877,0.8392857142857143,245.0
타다,0.0,0.0,0.0,0.0
택시,0.7953488372093023,0.8952879581151832,0.8423645320197044,191.0
터널,0.864406779661017,0.8947368421052632,0.8793103448275862,171.0
트렁크닫다,0.0,0.0,0.0,0.0
트렁크열다,0.8768115942028986,0.8832116788321168,0.88,137.0
틀리다,0.8888888888888888,0.7843137254901961,0.8333333333333334,51.0
